fecha,2,5,10
2008-01-02,6.23,6.31,6.36
2008-01-03,6.12,6.29,6.34
2008-01-04,6.49,6.39,6.44
2008-01-07,6.45,6.47,6.57
2008-01-08,6.66992862241256,6.64569377990431,6.74
2008-01-09,6.66992862241256,6.7,6.81
2008-01-10,6.55428571428571,6.72,6.8
2008-01-11,6.55428571428571,6.69,6.76
2008-01-14,6.6,6.69,6.76
2008-01-15,6.6,6.62882352941176,6.68
2008-01-16,6.59,6.57781065088757,6.64
2008-01-17,6.59,6.62588235294118,6.65
2008-01-18,6.59,6.62588235294118,6.65
2008-01-21,6.59,6.60555555555556,6.65
2008-01-22,6.59,6.52,6.52
2008-01-23,6.47571428571429,6.42495662949195,6.49
2008-01-24,6.41941605839416,6.37038167938931,6.39
2008-01-25,6.37019801980198,6.35554565701559,6.37
2008-01-28,6.37,6.36910081743869,6.41
2008-01-29,6.39613924050633,6.38,6.41
2008-01-30,6.39230769230769,6.38333333333333,6.38
2008-01-31,6.39230769230769,6.37,6.37
2008-02-01,6.39230769230769,6.39759036144578,6.42
2008-02-04,6.4,6.39,6.44
2008-02-05,6.4,6.298017839445,6.33
2008-02-06,6.32,6.29855148342059,6.32
2008-02-07,6.31,6.27153649167734,6.3
2008-02-08,6.31,6.29178021978022,6.3
2008-02-11,6.32,6.31,6.3
2008-02-12,6.34,6.33216494845361,6.3
2008-02-13,6.34,6.33,6.3
2008-02-14,6.34,6.33833333333333,6.3
2008-02-15,6.32,6.3,6.3
2008-02-18,6.32,6.31,6.32
2008-02-19,6.32,6.31,6.32
2008-02-20,6.32,6.35,6.32
2008-02-21,6.38,6.37,6.32
2008-02-22,6.38,6.37,6.32
2008-02-25,6.38,6.37,6.38
2008-02-26,6.45096774193548,6.44660377358491,6.38
2008-02-27,6.44,6.41,6.38
2008-02-28,6.44,6.44181818181818,6.45
2008-02-29,6.44,6.42362831858407,6.42
2008-03-03,6.44,6.41258064516129,6.4
2008-03-04,6.44,6.42674033149171,6.4
2008-03-05,6.44,6.56316602316602,6.55
2008-03-06,6.59,6.58,6.56
2008-03-07,6.59,6.53075471698113,6.53
2008-03-10,6.56,6.56632716049383,6.51
2008-03-11,6.56,6.57,6.51
2008-03-12,6.58,6.56260273972603,6.51
2008-03-13,6.66,6.5921875,6.51
2008-03-14,6.66,6.54,6.53
2008-03-17,6.66,6.54,6.53
2008-03-18,6.52,6.53448402304872,6.58
2008-03-19,6.52,6.53448402304872,6.6
2008-03-20,6.52,6.53448402304872,6.55
2008-03-24,6.52,6.516,6.55
2008-03-25,6.52,6.53444444444444,6.55
2008-03-26,6.52,6.53444444444444,6.54
2008-03-27,6.54,6.53444444444444,6.58
2008-03-28,6.54,6.53444444444444,6.57
2008-03-31,6.54,6.53444444444444,6.59
2008-04-01,6.63,6.61,6.59
