id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us7000lt1x,2024-01-22 22:30:11.367,-30.1991,-72.1731,10.0,5.4,mww,"84 km WSW of Coquimbo, Chile"
us7000lt4k,2024-01-23 05:05:07.112,-30.176,-72.3177,10.0,4.5,mb,"97 km WSW of Coquimbo, Chile"
us7000lt7a,2024-01-23 15:13:32.655,-28.8236,-67.4054,122.91,4.4,mb,"38 km NNE of Chilecito, Argentina"
us7000lt7p,2024-01-23 16:06:56.091,-30.1633,-72.1573,10.375,4.6,mwr,"82 km WSW of Coquimbo, Chile"
us7000ltc2,2024-01-23 23:09:52.891,-34.4809,-70.4929,121.727,4.6,mb,"34 km ESE of Rengo, Chile"
us7000ltf3,2024-01-24 08:05:10.409,-22.1872,-68.6463,113.11,5.3,mww,"41 km NE of Calama, Chile"
us7000ltfs,2024-01-24 09:38:59.001,-24.0925,-66.8024,196.212,4.3,mb,"51 km WNW of San Antonio de los Cobres, Argentina"
us7000ltid,2024-01-24 16:00:51.271,-22.2009,-68.7552,115.752,4.3,mb,"33 km NNE of Calama, Chile"
us7000ltsm,2024-01-25 17:51:58.843,-24.1328,-67.1456,177.048,4.7,mb,"84 km W of San Antonio de los Cobres, Argentina"
us7000ltt2,2024-01-25 18:58:12.789,-21.807,-68.443,121.034,5.0,mww,"67 km SSW of Ollagüe, Chile"
us7000ltwn,2024-01-26 06:22:16.085,-32.9763,-71.5506,50.351,4.6,mwr,"5 km N of Viña del Mar, Chile"
us7000lu5z,2024-01-26 16:54:21.038,-21.1432,-69.0156,114.919,4.2,mb,"79 km W of Ollagüe, Chile"
us7000lu6j,2024-01-26 18:31:45.620,-21.7931,-68.6452,125.409,4.4,mb,"74 km SSW of Ollagüe, Chile"
us7000luaj,2024-01-27 05:55:34.047,-19.8194,-69.4399,88.056,4.0,mb,"39 km ENE of Huara, Chile"
us7000lube,2024-01-27 07:15:27.412,-28.475,-67.6098,115.762,4.5,mb,"45 km S of Tinogasta, Argentina"
us7000luf8,2024-01-27 23:21:00.166,-22.0823,-68.7329,118.139,4.2,mb,"45 km NNE of Calama, Chile"
us7000lug0,2024-01-28 01:59:12.709,-20.0981,-68.1767,176.68,4.1,mb,"103 km SSE of Colchane, Chile"
us7000luhq,2024-01-28 07:35:56.837,-39.5464,-72.4597,87.794,4.4,mb,"15 km NW of Panguipulli, Chile"
us7000lult,2024-01-28 20:47:54.225,-23.9956,-66.817,204.336,4.2,mb,"56 km WNW of San Antonio de los Cobres, Argentina"
us7000lumv,2024-01-29 01:49:38.496,-22.6246,-69.159,119.309,4.1,mb,"30 km SW of Calama, Chile"
us7000lupw,2024-01-29 13:26:19.072,-22.8753,-68.0994,147.783,4.1,mb,"11 km ENE of San Pedro de Atacama, Chile"
us7000lush,2024-01-29 17:43:30.091,-27.8601,-66.5064,161.545,4.5,mb,"36 km SSW of Andalgalá, Argentina"
