id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us7000j1ew,2023-01-01 12:18:59.423,-23.0742,-68.9221,106.733,4.8,mwr,"68 km S of Calama, Chile"
us7000j1f6,2023-01-01 13:27:29.461,-21.2221,-68.9621,90.462,4.1,mb,"136 km N of Calama, Chile"
us7000j1h7,2023-01-01 21:32:44.421,-21.3126,-67.2105,201.911,4.4,mb,"Potosi, Bolivia"
us7000j1jc,2023-01-02 06:45:13.694,-24.1203,-66.9233,195.266,4.5,mb,"62 km W of San Antonio de los Cobres, Argentina"
us7000j1li,2023-01-02 11:24:09.437,-31.3613,-68.2466,105.312,4.5,mb,"25 km ENE of San Martín, Argentina"
us7000j1qq,2023-01-03 02:09:54.544,-18.287,-70.0597,85.305,4.1,mb,"32 km NE of Arica, Chile"
us7000j1tg,2023-01-03 12:26:10.224,-31.5582,-69.2794,120.139,4.5,mb,"28 km SSE of Calingasta, Argentina"
us7000j1xu,2023-01-03 22:20:56.509,-24.1135,-66.8083,198.977,4.2,mb,"Salta, Argentina"
us7000j1z9,2023-01-04 01:27:34.517,-27.9547,-66.5814,171.453,4.0,mb,"48 km SSW of Andalgalá, Argentina"
us7000j22x,2023-01-04 15:29:37.261,-23.0579,-68.9523,106.604,4.5,mwr,"66 km S of Calama, Chile"
us7000j24y,2023-01-04 19:42:55.191,-30.7554,-71.4941,35.0,4.0,ml,"33 km WSW of Ovalle, Chile"
us7000j25w,2023-01-04 23:23:46.337,-19.1636,-68.9655,126.284,5.1,mww,"154 km SSW of Curahuara de Carangas, Bolivia"
us7000j2az,2023-01-05 14:14:29.033,-22.8646,-68.4422,122.519,4.4,mwr,"25 km WNW of San Pedro de Atacama, Chile"
us7000j2dx,2023-01-05 19:08:18.930,-32.7048,-71.2694,57.962,4.2,mwr,"10 km NNW of Hacienda La Calera, Chile"
us7000j2hh,2023-01-06 06:38:36.458,-24.1567,-67.0685,188.315,4.4,mb,"76 km W of San Antonio de los Cobres, Argentina"
us7000j2j2,2023-01-06 13:33:01.275,-34.2206,-71.6465,50.337,4.3,mb,"53 km NNW of Santa Cruz, Chile"
us7000j2mm,2023-01-06 20:06:19.501,-25.3526,-66.2082,203.273,4.5,mb,"26 km S of Cachí, Argentina"
us7000j2pk,2023-01-07 01:31:49.306,-34.3817,-72.3721,28.476,4.4,mb,"96 km WNW of Santa Cruz, Chile"
us7000j2pr,2023-01-07 01:58:42.796,-31.4319,-68.5084,114.784,4.0,mb,"San Juan, Argentina"
us7000j2r8,2023-01-07 06:23:40.893,-32.0193,-69.4816,106.694,4.8,mwr,"76 km S of Calingasta, Argentina"
us7000j2yq,2023-01-08 11:53:47.194,-23.5177,-66.8469,210.586,4.3,mb,"94 km NW of San Antonio de los Cobres, Argentina"
us7000j30u,2023-01-08 19:28:46.788,-33.0128,-71.3559,54.46,4.3,mwr,"3 km NNE of Villa Alemana, Chile"
us7000j314,2023-01-08 20:23:58.691,-21.0474,-68.6382,128.382,4.3,mwr,"158 km N of Calama, Chile"
us7000j31u,2023-01-09 02:05:20.146,-24.0611,-67.0607,202.486,4.2,mb,"77 km WNW of San Antonio de los Cobres, Argentina"
us7000j33d,2023-01-09 08:43:57.078,-28.7761,-72.7934,10.0,4.3,mwr,"192 km NW of Coquimbo, Chile"
us7000j33j,2023-01-09 09:09:45.036,-20.0492,-69.377,116.896,4.2,mb,"82 km ENE of Iquique, Chile"
us7000j3da,2023-01-10 09:44:21.252,-21.7769,-68.5617,150.092,4.5,mb,"84 km NNE of Calama, Chile"
us7000j3ga,2023-01-10 17:11:26.103,-31.722,-67.1914,135.093,4.3,mb,"103 km E of Caucete, Argentina"
us7000j3mp,2023-01-11 12:03:30.717,-21.5202,-68.5084,150.73,4.2,mb,"112 km NNE of Calama, Chile"
us7000j3na,2023-01-11 15:14:33.864,-31.4078,-68.808,107.895,4.6,mb,"San Juan, Argentina"
us7000j3r4,2023-01-11 20:20:12.801,-25.4853,-71.0059,35.0,4.0,ml,"53 km W of Taltal, Chile"
us7000j3ty,2023-01-12 06:19:10.052,-30.6176,-71.3759,49.0,5.5,mww,"Near the coast of Coquimbo, Chile"
us7000j3wh,2023-01-12 13:14:03.311,-18.4237,-69.3587,132.628,4.5,mwr,"95 km SE of Palca, Peru"
us7000j3wu,2023-01-12 14:24:10.003,-30.6411,-71.335,53.415,4.5,mwr,"Near the coast of Coquimbo, Chile"
us7000j3xf,2023-01-12 16:12:41.057,-22.3179,-68.8832,105.577,4.3,mb,"15 km NNE of Calama, Chile"
us7000j420,2023-01-13 04:17:23.421,-31.556,-69.148,40.986,4.5,mb,"35 km SE of Calingasta, Argentina"
us7000j488,2023-01-13 17:37:27.454,-20.738,-70.4016,39.444,4.2,mb,"63 km SSW of Iquique, Chile"
us7000j49k,2023-01-13 21:00:38.060,-32.8486,-70.199,108.633,4.2,mb,"37 km E of Los Andes, Chile"
us7000j4dh,2023-01-14 11:58:44.722,-30.9772,-71.7885,61.901,4.2,mwr,"70 km SW of Ovalle, Chile"
us6000jiwr,2023-01-15 08:39:02.347,-31.4261,-68.4186,108.791,4.1,mb,"7 km E of San Martín, Argentina"
us7000j4n5,2023-01-16 07:41:00.532,-32.5669,-71.6774,35.0,4.3,mwr,"43 km WSW of La Ligua, Chile"
us7000j4na,2023-01-16 07:50:35.970,-21.7452,-68.4639,114.069,4.9,mwr,Chile-Bolivia border region
us7000j4pm,2023-01-16 15:47:40.574,-24.4747,-67.0711,168.322,4.9,mww,"81 km WSW of San Antonio de los Cobres, Argentina"
us7000j4vf,2023-01-17 11:53:26.378,-38.2043,-74.0207,21.638,4.6,mwr,"70 km SW of Cañete, Chile"
us7000j4y9,2023-01-17 18:05:42.233,-24.6041,-70.1141,57.268,4.3,mwr,"96 km NNE of Taltal, Chile"
us7000j4yj,2023-01-17 19:08:33.122,-25.7629,-69.0324,122.461,4.3,mb,"121 km ENE of Diego de Almagro, Chile"
us7000j56e,2023-01-18 07:29:00.195,-30.3972,-71.9719,26.495,4.5,mb,"77 km WNW of Ovalle, Chile"
