modelo,tipo,filas,columnas,segundos
Bagging de Oza en línea,en línea,32000,10,3.410008300008485
Bagging de Oza en línea,en línea,32000,20,6.334783199999947
Árbol de Hoeffding en línea,en línea,2000,5,0.08766740001738071
Árbol de Hoeffding en línea,en línea,2000,10,0.13371850000112318
Árbol de Hoeffding en línea,en línea,2000,20,0.21839670001645572
Árbol de Hoeffding en línea,en línea,4000,5,0.17951149999862537
Árbol de Hoeffding en línea,en línea,4000,10,0.2661192000086885
Árbol de Hoeffding en línea,en línea,4000,20,0.4391903000068851
Árbol de Hoeffding en línea,en línea,8000,5,0.35538910000468604
Árbol de Hoeffding en línea,en línea,8000,10,0.5323820999765303
Árbol de Hoeffding en línea,en línea,8000,20,0.8982004999998026
Árbol de Hoeffding en línea,en línea,16000,5,0.7009620000026189
Árbol de Hoeffding en línea,en línea,16000,10,1.0908895000175107
Árbol de Hoeffding en línea,en línea,16000,20,1.8387682000175118
Árbol de Hoeffding en línea,en línea,32000,5,1.4476712999748997
Árbol de Hoeffding en línea,en línea,32000,10,2.2140774999861605
Árbol de Hoeffding en línea,en línea,32000,20,3.8190411000105087
